                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1408,                 3.6559,                 1.3927,                 0.4787,                0.52299,                 0.4663,                0.38477,                0.83502,                 3.0342,                 1.1114,             0.00010983,             0.00010983,             0.00010983
                      2,                0.89293,                 2.2457,                 1.1964,                0.69881,                0.52801,                0.64281,                 0.5079,                0.90023,                 1.9965,                  1.142,             0.00021646,             0.00021646,             0.00021646
